                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2713,                 4.2847,                 4.1649,                0.00224,                0.34358,                0.00447,                0.00128,                  3.314,                 4.1673,                 4.1256,              0.0003621,              0.0003621,              0.0003621
                      2,                 3.0678,                 3.8406,                  3.755,                0.00144,                0.30591,                0.00257,                0.00065,                 3.4844,                  3.504,                 4.0444,             0.00072519,             0.00072519,             0.00072519
                      3,                 2.7124,                 3.6282,                  3.276,                0.81432,                0.02875,                0.00559,                0.00145,                 3.3475,                 6.1795,                 4.0178,              0.0010809,              0.0010809,              0.0010809
                      4,                 2.3898,                 3.4204,                 2.9516,                 0.8366,                0.03303,                0.02275,                 0.0068,                 2.4658,                  3.822,                 3.3899,               0.001078,               0.001078,               0.001078
                      5,                 2.1775,                 3.2028,                 2.7114,                0.85786,                0.04771,                0.03963,                0.00993,                 2.6731,                 4.5857,                 3.4507,               0.001078,               0.001078,               0.001078
                      6,                 1.9907,                 2.9989,                 2.5283,                0.86917,                 0.0789,                0.05964,                0.01991,                 2.2529,                 3.5321,                 2.9396,               0.001067,               0.001067,               0.001067
                      7,                 1.8753,                 2.8052,                 2.3969,                 0.8731,                0.07152,                0.07744,                0.02358,                 2.2129,                 3.1557,                 2.7847,               0.001056,               0.001056,               0.001056
                      8,                 1.8257,                 2.6839,                 2.3344,                0.69621,                0.08788,                0.06881,                0.02452,                 2.2948,                 2.8138,                  2.878,               0.001045,               0.001045,               0.001045
                      9,                 1.7957,                 2.6368,                 2.2605,                0.91006,                0.09725,                0.10227,                0.03439,                 2.1431,                 2.6379,                 2.7236,               0.001034,               0.001034,               0.001034
                     10,                 1.7437,                 2.5269,                 2.1896,                0.71971,                0.14867,                0.10058,                0.03758,                 2.0563,                 2.6001,                 2.6174,               0.001023,               0.001023,               0.001023
                     11,                 1.7038,                 2.4326,                 2.1485,                  0.705,                0.12312,                0.08337,                0.03207,                 2.1045,                 2.7361,                 2.6731,               0.001012,               0.001012,               0.001012
                     12,                 1.6352,                 2.3713,                  2.077,                0.67895,                0.07401,                0.09522,                0.03127,                 2.1553,                 2.8792,                 2.6818,               0.001001,               0.001001,               0.001001
                     13,                 1.6711,                 2.3756,                 2.0859,                0.69444,                0.13785,                 0.1016,                0.03555,                 1.9954,                 2.5615,                 2.4618,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.6251,                 2.3195,                 2.0316,                0.74209,                0.12263,                0.10284,                0.04117,                  2.086,                 2.6843,                 2.5503,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.5943,                 2.2532,                 2.0158,                0.68732,                0.15926,                 0.1056,                0.03929,                 2.0528,                 2.6571,                  2.598,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.5778,                 2.2409,                 2.0006,                0.73637,                0.16702,                 0.1319,                0.04563,                 2.1395,                 2.5115,                 2.6152,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.5759,                 2.2207,                 1.9935,                0.78368,                0.12499,                0.13997,                 0.0579,                 1.8463,                 2.4186,                 2.2852,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.5234,                 2.1662,                 1.9652,                0.56165,                0.12514,                0.12577,                0.05132,                 1.9747,                 2.3526,                 2.3454,             0.00093502,             0.00093502,             0.00093502
                     19,                  1.525,                 2.1572,                 1.9323,                0.83425,                0.10317,                0.11827,                0.04003,                 2.1082,                 2.6044,                 2.4935,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.4901,                 2.1011,                 1.9167,                0.76612,                0.15743,                 0.1519,                0.05533,                 2.0253,                 2.3199,                 2.4471,             0.00091302,             0.00091302,             0.00091302
                     21,                 1.4708,                 2.0735,                 1.8936,                0.74653,                0.16254,                0.13631,                0.05267,                   1.96,                 2.4354,                 2.3422,             0.00090202,             0.00090202,             0.00090202
                     22,                 1.4751,                 2.0633,                 1.8978,                 0.7426,                0.15376,                0.15211,                0.05927,                 1.9358,                 2.2942,                 2.2753,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.4717,                 2.0397,                  1.867,                0.77379,                0.13336,                0.13185,                0.04932,                 2.0835,                 2.4024,                 2.4783,             0.00088002,             0.00088002,             0.00088002
                     24,                 1.4405,                 2.0303,                 1.8569,                0.75223,                0.14764,                0.16663,                 0.0595,                 1.9805,                 2.3167,                 2.3276,             0.00086902,             0.00086902,             0.00086902
                     25,                 1.4225,                 1.9995,                  1.848,                0.75305,                0.16151,                0.16211,                0.06755,                 1.9724,                 2.2854,                 2.2958,             0.00085803,             0.00085803,             0.00085803
                     26,                  1.433,                 1.9958,                 1.8543,                0.54527,                0.16009,                 0.1605,                0.05717,                 1.9843,                 2.2912,                 2.3105,             0.00084703,             0.00084703,             0.00084703
                     27,                 1.4179,                 1.9302,                 1.8265,                 0.7788,                0.14336,                  0.158,                0.06313,                 1.9367,                 2.2517,                 2.2679,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.4097,                 1.9652,                 1.8201,                0.74206,                0.17641,                0.17603,                0.06688,                 1.8631,                 2.2663,                 2.1713,             0.00082503,             0.00082503,             0.00082503
                     29,                 1.4202,                 1.9847,                  1.831,                0.79242,                0.15757,                0.15476,                0.05523,                 1.9806,                 2.3893,                 2.3222,             0.00081403,             0.00081403,             0.00081403
                     30,                  1.401,                 1.9477,                 1.8048,                0.61592,                0.15459,                0.16288,                 0.0681,                 1.8793,                 2.2691,                 2.1965,             0.00080303,             0.00080303,             0.00080303
                     31,                  1.371,                 1.9148,                 1.7831,                0.80429,                0.18093,                0.20756,                0.08648,                 1.8311,                 2.1236,                 2.1739,             0.00079203,             0.00079203,             0.00079203
                     32,                 1.3578,                 1.8425,                 1.7802,                0.64126,                0.17213,                0.19702,                0.07338,                  1.989,                 2.1939,                 2.2644,             0.00078103,             0.00078103,             0.00078103
                     33,                 1.4013,                 1.9463,                 1.8109,                0.62547,                0.18069,                0.19711,                0.08047,                 1.9425,                 2.1641,                 2.2531,             0.00077003,             0.00077003,             0.00077003
                     34,                 1.3978,                 1.9225,                 1.8108,                0.63811,                0.19519,                0.21414,                0.08481,                  1.933,                 2.1525,                 2.2303,             0.00075904,             0.00075904,             0.00075904
                     35,                 1.3542,                 1.8812,                 1.7718,                0.81692,                0.15234,                0.19847,                0.08522,                 1.9202,                 2.1496,                 2.2146,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.3507,                 1.8429,                  1.761,                0.57127,                0.19089,                0.22017,                0.08629,                 1.8844,                 2.2482,                 2.1601,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.3439,                 1.8468,                  1.742,                0.61227,                  0.186,                0.20867,                 0.0859,                 1.8533,                 2.1665,                 2.1299,             0.00072604,             0.00072604,             0.00072604
                     38,                  1.354,                 1.8491,                 1.7585,                 0.8479,                 0.1657,                0.19016,                 0.0801,                 1.9333,                 2.2828,                   2.23,             0.00071504,             0.00071504,             0.00071504
                     39,                 1.3368,                 1.7932,                 1.7407,                0.78595,                0.17582,                0.20883,                0.08217,                 1.9415,                 2.2887,                 2.2328,             0.00070404,             0.00070404,             0.00070404
                     40,                 1.3269,                 1.7986,                 1.7397,                0.83139,                0.19008,                0.22149,                0.09696,                 1.8826,                 2.0795,                 2.1348,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.3155,                 1.7875,                 1.7234,                0.60596,                0.20232,                0.21497,                0.09676,                 1.7761,                 2.0816,                 2.0721,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.2973,                 1.7874,                 1.7142,                0.85329,                 0.1597,                0.23599,                0.09478,                 1.9714,                 2.3126,                 2.2578,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.3332,                 1.7849,                 1.7347,                0.60398,                0.21111,                0.22683,                0.08688,                 1.9588,                 2.2618,                 2.2394,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.2825,                 1.7438,                 1.7209,                0.87468,                0.17895,                0.25943,                0.12263,                 1.8169,                  2.091,                 2.0613,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.3278,                  1.776,                 1.7241,                0.84572,                 0.1948,                0.23062,                0.09557,                 1.8018,                 2.1991,                 2.0516,             0.00063805,             0.00063805,             0.00063805
                     46,                  1.293,                 1.7429,                 1.7014,                0.43669,                0.24519,                0.26011,                 0.1083,                 2.1591,                 2.1465,                 2.4084,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.3086,                 1.7451,                 1.7185,                0.65244,                 0.2109,                0.23025,                0.09403,                 1.9545,                  2.088,                 2.2247,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.2832,                 1.7247,                 1.7072,                0.84668,                 0.2073,                0.22963,                0.09089,                 1.9128,                 2.1376,                 2.1998,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.3158,                 1.7559,                 1.7124,                0.58205,                0.22824,                0.24868,                0.11217,                 1.7495,                 2.0826,                 2.0206,             0.00059405,             0.00059405,             0.00059405
                     50,                 1.2818,                 1.7142,                 1.6994,                0.69666,                0.22384,                0.26495,                0.12041,                 1.9091,                 2.0676,                 2.1719,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.2726,                 1.6945,                 1.6831,                 0.7898,                0.22785,                0.25646,                0.10357,                 1.9375,                 2.1761,                 2.1895,             0.00057205,             0.00057205,             0.00057205
                     52,                 1.2637,                 1.6903,                  1.678,                0.42177,                0.27517,                0.27075,                0.12637,                  1.821,                  2.057,                 2.0572,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.2996,                 1.7357,                 1.7059,                0.68261,                0.17521,                0.26879,                0.11972,                 1.9527,                 2.1933,                 2.2218,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.2446,                 1.6724,                  1.666,                0.28591,                0.28651,                0.26975,                0.12345,                 1.8039,                 2.0214,                 2.0529,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.2464,                 1.6621,                 1.6617,                0.51978,                0.23703,                0.26385,                0.11827,                 1.9092,                 2.0918,                 2.1785,             0.00052806,             0.00052806,             0.00052806
                     56,                   1.26,                 1.6463,                 1.6687,                0.65771,                0.20968,                0.26019,                0.11391,                 1.8696,                 2.0299,                 2.1159,             0.00051706,             0.00051706,             0.00051706
                     57,                  1.241,                 1.6468,                 1.6571,                0.33795,                0.26685,                0.25161,                0.11436,                 1.8002,                 2.1568,                 2.0479,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.2344,                 1.6335,                 1.6594,                0.27821,                0.29437,                 0.2856,                0.13075,                 1.8706,                 2.0592,                 2.1517,             0.00049506,             0.00049506,             0.00049506
                     59,                 1.2418,                 1.6352,                 1.6616,                0.28986,                0.27836,                0.27446,                 0.1253,                 1.8616,                 2.0905,                 2.1139,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.2378,                 1.6538,                 1.6603,                0.37456,                0.29561,                0.28416,                0.12059,                 1.8295,                  2.066,                 2.0993,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.2175,                 1.5732,                 1.6272,                0.71482,                0.18989,                0.28897,                0.13567,                 1.8495,                   2.04,                 2.0502,             0.00046206,             0.00046206,             0.00046206
                     62,                 1.2298,                 1.6349,                 1.6635,                 0.5655,                0.21101,                0.25564,                0.11075,                 1.9132,                 2.0729,                 2.1521,             0.00045107,             0.00045107,             0.00045107
                     63,                 1.2224,                 1.6083,                  1.644,                0.30199,                 0.2995,                0.30067,                0.14814,                 1.8164,                 1.9134,                 2.0563,             0.00044007,             0.00044007,             0.00044007
                     64,                 1.2358,                 1.5699,                 1.6513,                0.31243,                0.26263,                0.29314,                 0.1493,                 1.8219,                 1.8927,                 2.0541,             0.00042907,             0.00042907,             0.00042907
                     65,                 1.2044,                  1.582,                  1.627,                0.53568,                0.23266,                0.30133,                0.14826,                 1.8086,                 1.9638,                 2.0469,             0.00041807,             0.00041807,             0.00041807
                     66,                 1.2099,                 1.6249,                 1.6358,                0.50684,                0.21265,                0.27046,                0.12193,                 1.9169,                 2.0392,                 2.1844,             0.00040707,             0.00040707,             0.00040707
                     67,                 1.2201,                  1.594,                 1.6343,                0.28061,                0.30443,                0.31159,                0.14868,                 1.8531,                 1.9961,                 2.0796,             0.00039607,             0.00039607,             0.00039607
                     68,                 1.1924,                 1.5702,                 1.6254,                0.57602,                0.21857,                0.30412,                0.14894,                 1.8011,                  2.022,                 2.0328,             0.00038507,             0.00038507,             0.00038507
