                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6025,                 5.1628,                 4.1597,                0.20092,                0.00376,                0.00051,                0.00011,                 3.4484,                 4.8853,                 4.2178,              0.0033184,              0.0033184,              0.0033184
                      2,                 3.1693,                 4.4919,                 3.6326,                0.21001,                0.02458,                0.00451,                 0.0013,                 3.0032,                  4.271,                  3.354,              0.0065859,              0.0065859,              0.0065859
                      3,                 2.6485,                 3.9219,                 2.9898,                 0.2026,                0.02265,                0.00141,                0.00048,                 3.0423,                 6.2347,                 3.5046,              0.0097873,              0.0097873,              0.0097873
                      4,                 2.3328,                 3.4512,                 2.5638,                0.08959,                0.04706,                0.01685,                0.00524,                 2.5518,                  3.747,                 2.7788,               0.009703,               0.009703,               0.009703
                      5,                 2.1935,                 3.1328,                 2.3723,                0.17959,                0.07899,                0.02216,                0.00722,                 2.4073,                 4.0706,                 2.5766,               0.009703,               0.009703,               0.009703
                      6,                 2.1067,                 2.9759,                 2.2829,                0.31827,                0.06885,                 0.0404,                0.01579,                 2.2896,                 3.0906,                 2.4426,               0.009604,               0.009604,               0.009604
                      7,                 2.0393,                 2.8679,                 2.2037,                0.34992,                0.08207,                0.05635,                0.02376,                  2.221,                 2.9215,                 2.3723,               0.009505,               0.009505,               0.009505
                      8,                 2.0113,                  2.804,                 2.1635,                0.44112,                 0.0793,                 0.0581,                0.02568,                 2.2346,                 2.8472,                 2.3764,               0.009406,               0.009406,               0.009406
                      9,                 1.9818,                 2.7352,                 2.1288,                0.34678,                0.10112,                0.06779,                0.02884,                 2.1901,                 2.7599,                 2.3331,               0.009307,               0.009307,               0.009307
                     10,                 1.9565,                 2.6879,                 2.1011,                0.40067,                0.09764,                0.07293,                0.03258,                  2.195,                 2.7538,                 2.2977,               0.009208,               0.009208,               0.009208
                     11,                 1.9403,                  2.638,                 2.0721,                0.49356,                0.07651,                0.05839,                  0.027,                 2.1844,                 2.8098,                 2.3065,               0.009109,               0.009109,               0.009109
                     12,                 1.9107,                 2.6065,                 2.0552,                0.43465,                0.10565,                0.09251,                0.04087,                 2.0975,                 2.5905,                 2.2121,                0.00901,                0.00901,                0.00901
                     13,                 1.9055,                 2.5715,                 2.0351,                 0.4134,                0.10192,                0.09306,                0.04253,                 2.0896,                 2.5742,                 2.1827,               0.008911,               0.008911,               0.008911
                     14,                 1.8913,                 2.5283,                 2.0159,                0.46225,                 0.1166,                0.09814,                0.04446,                 2.0944,                  2.578,                 2.1751,               0.008812,               0.008812,               0.008812
                     15,                 1.8696,                 2.4949,                 1.9984,                0.47444,                0.11833,                0.10593,                0.04966,                 2.0696,                 2.4925,                 2.1469,               0.008713,               0.008713,               0.008713
                     16,                 1.8521,                 2.5028,                 1.9845,                0.41523,                0.11084,                0.10147,                0.04398,                 2.1056,                 2.5608,                  2.202,               0.008614,               0.008614,               0.008614
                     17,                 1.8456,                 2.4468,                 1.9764,                0.42391,                0.14416,                0.10273,                0.04935,                 2.0391,                 2.4155,                 2.1252,               0.008515,               0.008515,               0.008515
                     18,                 1.8408,                 2.4226,                  1.964,                0.58518,                0.11292,                0.11111,                0.05163,                 2.0195,                 2.4923,                 2.1015,               0.008416,               0.008416,               0.008416
                     19,                 1.8278,                 2.4084,                 1.9502,                0.51173,                0.14747,                0.11426,                0.05248,                 2.0053,                 2.3767,                 2.0985,               0.008317,               0.008317,               0.008317
                     20,                 1.8229,                 2.3711,                 1.9322,                0.54988,                0.13856,                0.12969,                0.06043,                 2.0104,                 2.3698,                 2.0908,               0.008218,               0.008218,               0.008218
                     21,                 1.8015,                 2.3605,                 1.9372,                0.54095,                0.12839,                0.11367,                0.04685,                 2.0485,                 2.5454,                  2.149,               0.008119,               0.008119,               0.008119
                     22,                 1.7973,                 2.3319,                 1.9177,                 0.5439,                0.14501,                 0.1354,                0.06413,                 2.0088,                 2.3551,                   2.08,                0.00802,                0.00802,                0.00802
                     23,                 1.7976,                 2.3239,                 1.9164,                0.52175,                0.15216,                0.13326,                0.06302,                 1.9994,                 2.3417,                 2.0747,               0.007921,               0.007921,               0.007921
                     24,                 1.7814,                 2.2848,                 1.8966,                0.45724,                0.16842,                0.13231,                0.06228,                 2.0187,                 2.3231,                 2.0984,               0.007822,               0.007822,               0.007822
                     25,                 1.7884,                 2.2837,                 1.8918,                0.43972,                0.18487,                0.15351,                0.07355,                 1.9728,                 2.2712,                 2.0478,               0.007723,               0.007723,               0.007723
                     26,                 1.7704,                 2.2747,                 1.8842,                0.46966,                0.20057,                0.16508,                0.07408,                 1.9477,                 2.2226,                  2.022,               0.007624,               0.007624,               0.007624
                     27,                 1.7631,                 2.2619,                 1.8757,                0.47424,                0.17296,                0.14604,                0.06281,                 1.9814,                 2.2359,                 2.0452,               0.007525,               0.007525,               0.007525
                     28,                 1.7564,                 2.2245,                 1.8635,                0.51799,                0.18154,                0.15547,                0.07603,                 1.9601,                 2.2162,                 2.0233,               0.007426,               0.007426,               0.007426
                     29,                 1.7413,                 2.2306,                 1.8627,                0.52918,                0.16877,                0.15606,                0.07394,                 1.9437,                 2.1982,                 2.0155,               0.007327,               0.007327,               0.007327
                     30,                  1.747,                 2.2046,                 1.8598,                0.54063,                0.17321,                0.16639,                0.07755,                 1.9704,                 2.1914,                   2.02,               0.007228,               0.007228,               0.007228
                     31,                  1.741,                 2.1916,                  1.848,                0.57411,                0.15547,                0.15568,                0.07659,                  1.934,                  2.219,                 2.0046,               0.007129,               0.007129,               0.007129
                     32,                 1.7404,                 2.1729,                 1.8396,                0.45562,                0.16806,                0.15603,                0.07194,                 1.9557,                 2.2528,                 2.0011,                0.00703,                0.00703,                0.00703
                     33,                 1.7294,                 2.1696,                 1.8374,                0.51486,                0.19155,                 0.1739,                0.08431,                 1.9327,                 2.1581,                 1.9976,               0.006931,               0.006931,               0.006931
                     34,                 1.7209,                  2.144,                  1.832,                0.48851,                0.19985,                0.18906,                0.09343,                 1.9209,                 2.1126,                 1.9952,               0.006832,               0.006832,               0.006832
                     35,                 1.7161,                  2.144,                 1.8234,                0.53238,                0.21789,                0.19843,                0.09626,                 1.9185,                 2.0884,                 1.9826,               0.006733,               0.006733,               0.006733
                     36,                 1.7124,                 2.1388,                 1.8251,                0.58841,                0.20225,                 0.1966,                0.09493,                 1.9306,                 2.1137,                 1.9845,               0.006634,               0.006634,               0.006634
                     37,                   1.71,                  2.115,                 1.8157,                0.49444,                0.21429,                0.20664,                 0.0937,                 1.9298,                 2.1404,                 1.9846,               0.006535,               0.006535,               0.006535
                     38,                 1.7021,                 2.1249,                 1.8131,                0.46938,                0.22781,                0.21571,                0.10363,                 1.9312,                  2.125,                 1.9762,               0.006436,               0.006436,               0.006436
                     39,                 1.6886,                 2.1052,                  1.809,                0.52563,                 0.2517,                0.23924,                 0.1139,                 1.8902,                 2.0314,                 1.9673,               0.006337,               0.006337,               0.006337
                     40,                 1.6846,                 2.0945,                 1.8024,                0.44046,                0.22828,                0.21937,                0.10266,                 1.8977,                  2.041,                 1.9605,               0.006238,               0.006238,               0.006238
                     41,                 1.6888,                  2.075,                 1.7948,                0.55719,                0.20994,                0.22862,                0.11073,                 1.8982,                 2.0733,                 1.9497,               0.006139,               0.006139,               0.006139
                     42,                 1.6895,                 2.0876,                 1.8007,                0.53471,                0.20695,                0.23368,                0.11109,                 1.8805,                 2.0387,                 1.9438,                0.00604,                0.00604,                0.00604
                     43,                 1.6859,                 2.0656,                  1.797,                0.53149,                0.21494,                0.23683,                0.11166,                 1.9017,                 2.0676,                 1.9615,               0.005941,               0.005941,               0.005941
                     44,                 1.6742,                  2.058,                  1.793,                0.47499,                0.24512,                0.23699,                0.11699,                  1.897,                   2.02,                  1.957,               0.005842,               0.005842,               0.005842
                     45,                 1.6844,                 2.0371,                 1.7896,                0.48919,                0.24672,                0.22713,                 0.1105,                 1.8718,                 2.0329,                 1.9304,               0.005743,               0.005743,               0.005743
                     46,                  1.667,                 2.0154,                 1.7778,                0.46322,                0.29044,                0.26022,                0.11999,                 1.8965,                 2.0024,                 1.9357,               0.005644,               0.005644,               0.005644
                     47,                 1.6705,                 2.0268,                 1.7826,                0.52396,                0.24124,                0.26054,                0.12777,                 1.8707,                 1.9601,                 1.9356,               0.005545,               0.005545,               0.005545
                     48,                 1.6746,                  2.019,                  1.778,                0.53751,                0.25491,                 0.2595,                0.12635,                 1.8591,                 1.9867,                 1.9086,               0.005446,               0.005446,               0.005446
                     49,                 1.6666,                 2.0146,                 1.7735,                0.47189,                0.24637,                0.25207,                 0.1247,                 1.8672,                 1.9558,                 1.9286,               0.005347,               0.005347,               0.005347
                     50,                 1.6635,                 2.0032,                 1.7752,                 0.5632,                0.25389,                0.26116,                0.12239,                 1.8738,                 1.9606,                 1.9201,               0.005248,               0.005248,               0.005248
                     51,                  1.654,                 1.9893,                 1.7678,                0.42072,                0.28161,                 0.2596,                0.12809,                  1.867,                 1.9345,                 1.9167,               0.005149,               0.005149,               0.005149
                     52,                 1.6452,                 1.9673,                 1.7549,                0.55048,                0.26593,                0.27192,                0.13247,                 1.8508,                 1.9463,                 1.9132,                0.00505,                0.00505,                0.00505
                     53,                 1.6537,                 1.9768,                 1.7634,                0.49754,                0.26119,                0.28033,                0.13663,                 1.8404,                  1.936,                 1.9045,               0.004951,               0.004951,               0.004951
                     54,                 1.6405,                 1.9643,                  1.759,                0.54305,                 0.2667,                0.28036,                0.13791,                 1.8486,                 1.9259,                 1.9023,               0.004852,               0.004852,               0.004852
                     55,                 1.6451,                 1.9672,                 1.7547,                0.55749,                0.26369,                0.29274,                0.14597,                 1.8372,                 1.9249,                  1.901,               0.004753,               0.004753,               0.004753
                     56,                 1.6375,                 1.9476,                 1.7471,                0.46589,                0.29442,                0.27709,                0.13663,                 1.8491,                  1.943,                 1.9077,               0.004654,               0.004654,               0.004654
                     57,                 1.6391,                 1.9489,                 1.7449,                0.52339,                0.26184,                0.30196,                0.15101,                 1.8437,                 1.9164,                 1.8988,               0.004555,               0.004555,               0.004555
                     58,                 1.6328,                 1.9266,                 1.7439,                0.56189,                0.26488,                0.30582,                0.15083,                 1.8522,                 1.9003,                 1.9075,               0.004456,               0.004456,               0.004456
                     59,                 1.6327,                 1.9305,                 1.7478,                0.40711,                0.30923,                0.30231,                0.14795,                 1.8344,                 1.8859,                 1.9081,               0.004357,               0.004357,               0.004357
                     60,                 1.6167,                  1.915,                  1.739,                0.52269,                0.30204,                 0.3069,                0.14989,                 1.8499,                 1.8898,                 1.9101,               0.004258,               0.004258,               0.004258
                     61,                 1.6171,                 1.9197,                 1.7349,                0.49762,                0.29907,                0.30968,                0.15602,                 1.8446,                 1.8816,                 1.8996,               0.004159,               0.004159,               0.004159
                     62,                 1.6103,                 1.8944,                 1.7313,                 0.5282,                0.28391,                0.30989,                0.15675,                   1.84,                 1.8936,                 1.8989,                0.00406,                0.00406,                0.00406
                     63,                 1.6021,                  1.884,                 1.7263,                0.52232,                 0.3243,                 0.3187,                0.15828,                 1.8319,                 1.8656,                 1.8953,               0.003961,               0.003961,               0.003961
                     64,                 1.6107,                 1.8884,                 1.7228,                 0.4451,                0.31146,                0.31966,                0.15998,                 1.8278,                 1.8656,                  1.884,               0.003862,               0.003862,               0.003862
                     65,                 1.6034,                 1.8684,                  1.719,                0.50857,                0.31748,                0.30844,                0.15346,                 1.8389,                 1.8677,                 1.8997,               0.003763,               0.003763,               0.003763
                     66,                 1.6081,                 1.8831,                 1.7263,                0.53844,                0.30261,                0.32261,                0.15856,                 1.8268,                 1.8508,                 1.8834,               0.003664,               0.003664,               0.003664
                     67,                 1.6058,                 1.8712,                  1.716,                0.46257,                0.32398,                 0.3188,                0.15829,                 1.8252,                 1.8544,                 1.8849,               0.003565,               0.003565,               0.003565
                     68,                 1.5936,                 1.8654,                 1.7121,                0.47942,                0.30747,                0.32455,                0.16614,                  1.827,                 1.8552,                  1.883,               0.003466,               0.003466,               0.003466
                     69,                 1.5971,                 1.8489,                 1.7079,                0.50381,                0.30013,                0.32349,                0.16477,                 1.8255,                  1.852,                 1.8781,               0.003367,               0.003367,               0.003367
                     70,                 1.5841,                 1.8451,                 1.7063,                0.53983,                0.30192,                0.33336,                0.16763,                 1.8306,                 1.8364,                 1.8848,               0.003268,               0.003268,               0.003268
                     71,                 1.5844,                 1.8305,                  1.705,                 0.5022,                0.31477,                0.33156,                0.16979,                 1.8288,                 1.8403,                 1.8822,               0.003169,               0.003169,               0.003169
                     72,                 1.5829,                 1.8254,                    1.7,                0.49168,                 0.3152,                0.33562,                0.16721,                 1.8208,                 1.8402,                 1.8765,                0.00307,                0.00307,                0.00307
