                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2062,                 5.0802,                 3.9956,                      0,                      0,                      0,                      0,                 4.0853,                 24.613,                 3.1052,               0.003318,               0.003318,               0.003318
                      2,                 3.4821,                 3.8053,                 3.2041,                0.00314,                0.01117,                0.00192,                0.00064,                 4.9727,                  4.672,                 3.1546,              0.0065855,              0.0065855,              0.0065855
                      3,                 2.9471,                 3.1788,                 2.5507,                0.02245,                0.03631,                0.00748,                0.00197,                 3.9648,                 3.9663,                  1.946,               0.009787,               0.009787,               0.009787
                      4,                 2.7191,                 2.8779,                 2.2655,                0.12606,                0.06564,                0.02906,                0.00858,                   3.36,                 3.6539,                 1.5716,               0.009703,               0.009703,               0.009703
                      5,                 2.5762,                 2.6785,                 2.1032,                0.14858,                0.06844,                0.03608,                0.01158,                 3.3483,                 3.0288,                 1.5247,               0.009703,               0.009703,               0.009703
                      6,                 2.4423,                 2.5164,                 2.0026,                0.16479,                0.10615,                0.05725,                0.01642,                 3.6548,                 3.3133,                 1.9239,               0.009604,               0.009604,               0.009604
                      7,                 2.3749,                 2.4543,                 1.9425,                0.21667,                0.11453,                0.06863,                0.02101,                 3.2483,                 2.6311,                 1.5418,               0.009505,               0.009505,               0.009505
                      8,                 2.3285,                 2.3727,                 1.8879,                0.19722,                0.11872,                0.08465,                0.03195,                 3.0254,                 2.5642,                 1.4818,               0.009406,               0.009406,               0.009406
                      9,                 2.2833,                 2.2846,                 1.8477,                 0.2022,                0.09664,                0.06002,                0.02309,                  2.888,                 3.5141,                  1.452,               0.009307,               0.009307,               0.009307
                     10,                 2.2606,                 2.2366,                 1.8149,                0.32984,                0.20531,                0.14898,                 0.0532,                 2.8166,                 2.3267,                 1.3877,               0.009208,               0.009208,               0.009208
                     11,                 2.2186,                 2.1952,                 1.7841,                0.26948,                0.17039,                0.12946,                0.04859,                 2.6496,                 2.5792,                 1.3302,               0.009109,               0.009109,               0.009109
                     12,                 2.2072,                 2.1574,                 1.7751,                0.24626,                0.14106,                0.09537,                0.03269,                 2.8447,                 2.7074,                 1.3977,                0.00901,                0.00901,                0.00901
                     13,                 2.1785,                 2.1107,                 1.7553,                0.35591,                0.17179,                0.13607,                0.05162,                 2.6311,                 2.4425,                 1.2751,               0.008911,               0.008911,               0.008911
                     14,                 2.1605,                 2.0926,                 1.7439,                0.32078,                 0.1662,                0.13533,                0.05461,                 2.8918,                 2.3932,                 1.3876,               0.008812,               0.008812,               0.008812
                     15,                 2.1256,                 2.0678,                 1.7188,                0.28499,                0.16341,                0.12156,                0.04911,                 2.8039,                 2.3552,                  1.365,               0.008713,               0.008713,               0.008713
                     16,                 2.1037,                 2.0286,                 1.6998,                0.32414,                 0.1648,                0.13956,                0.05095,                 2.5976,                  2.429,                 1.2787,               0.008614,               0.008614,               0.008614
                     17,                 2.1102,                 2.0092,                 1.6986,                0.29364,                0.18436,                0.14758,                0.05769,                 2.6782,                 2.3647,                 1.3804,               0.008515,               0.008515,               0.008515
