                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1897,                 5.6748,                  4.198,                0.00017,                0.02907,                0.00026,                  9e-05,                 4.1785,                 5.6412,                 4.1133,             6.3646e-05,             6.3646e-05,             6.3646e-05
                      2,                 3.0796,                 5.2637,                 3.8722,                0.18292,                0.02472,                0.00071,                0.00021,                 4.0472,                 11.873,                  3.903,             0.00012512,             0.00012512,             0.00012512
                      3,                 2.7271,                 4.7334,                  3.366,                0.24345,                0.02708,                0.00548,                0.00208,                 3.5324,                 8.0325,                 3.4032,             0.00018406,             0.00018406,             0.00018406
                      4,                  2.084,                 4.1172,                 2.7334,                0.37163,                0.03553,                0.01523,                0.00694,                 3.1145,                 6.1442,                 3.0366,              0.0001806,              0.0001806,              0.0001806
                      5,                 1.6725,                 3.5772,                 2.2862,                0.39407,                0.02823,                0.02402,                0.01224,                 2.8489,                 4.7095,                 2.7291,              0.0001806,              0.0001806,              0.0001806
                      6,                 1.4478,                 3.1851,                 2.0375,                0.39837,                0.04492,                0.04148,                0.02095,                 2.6351,                 4.7054,                 2.5341,             0.00017679,             0.00017679,             0.00017679
                      7,                 1.3284,                 2.9263,                  1.901,                0.41585,                0.06083,                0.04483,                0.02399,                 2.6216,                 4.4172,                 2.4721,             0.00017299,             0.00017299,             0.00017299
                      8,                 1.2284,                 2.7112,                 1.7883,                0.42436,                0.06077,                0.05498,                0.02866,                 2.5694,                 4.1199,                 2.4684,             0.00016919,             0.00016919,             0.00016919
                      9,                 1.1706,                 2.5419,                 1.7306,                0.42026,                0.07178,                0.05928,                0.03168,                 2.4537,                 4.1073,                  2.294,             0.00016539,             0.00016539,             0.00016539
                     10,                 1.1159,                 2.3678,                 1.6644,                0.38597,                0.07014,                 0.0661,                0.03674,                 2.4539,                 4.0981,                 2.2779,             0.00016159,             0.00016159,             0.00016159
                     11,                 1.0913,                 2.2625,                 1.6241,                0.42576,                0.07357,                0.07527,                0.04464,                 2.4668,                 4.1106,                 2.2237,             0.00015779,             0.00015779,             0.00015779
                     12,                 1.0272,                 2.1369,                 1.5821,                0.45858,                0.07944,                0.08277,                0.04823,                 2.4458,                 3.9322,                 2.1976,             0.00015398,             0.00015398,             0.00015398
                     13,                 1.0116,                 2.0647,                 1.5482,                0.43595,                0.06833,                0.07897,                0.04916,                 2.3396,                 3.8456,                 2.1261,             0.00015018,             0.00015018,             0.00015018
                     14,                0.99535,                 1.9997,                 1.5289,                0.34234,                0.07378,                0.08493,                0.05348,                 2.3161,                  3.779,                 2.0867,             0.00014638,             0.00014638,             0.00014638
                     15,                0.97194,                 1.9287,                  1.508,                0.47342,                0.07403,                0.08365,                0.05328,                 2.2466,                 3.6904,                 2.0181,             0.00014258,             0.00014258,             0.00014258
                     16,                0.94011,                 1.8536,                 1.4741,                 0.4505,                0.08094,                0.09043,                0.05779,                 2.3074,                 3.5549,                 2.0174,             0.00013878,             0.00013878,             0.00013878
                     17,                0.91507,                 1.7934,                 1.4599,                0.47867,                  0.084,                0.09303,                0.06015,                 2.2562,                 3.6613,                 2.0129,             0.00013498,             0.00013498,             0.00013498
                     18,                0.90858,                  1.737,                  1.441,                0.51949,                0.08723,                0.09328,                 0.0619,                 2.2565,                 3.4603,                 1.9699,             0.00013117,             0.00013117,             0.00013117
                     19,                0.89896,                 1.7123,                 1.4297,                   0.53,                0.08281,                0.09881,                0.06573,                 2.1641,                 3.3389,                 1.9472,             0.00012737,             0.00012737,             0.00012737
                     20,                0.87755,                 1.6414,                 1.4143,                0.42041,                0.08629,                0.09361,                0.06265,                 2.2397,                 3.4901,                  1.969,             0.00012357,             0.00012357,             0.00012357
                     21,                0.88233,                 1.6366,                 1.4123,                0.55826,                0.08646,                0.09956,                0.06508,                 2.3514,                 3.2542,                 2.0263,             0.00011977,             0.00011977,             0.00011977
                     22,                0.85758,                 1.5698,                 1.3945,                0.39918,                0.08248,                0.10234,                0.06738,                 2.1801,                 3.2705,                   1.94,             0.00011597,             0.00011597,             0.00011597
                     23,                0.86422,                 1.5473,                 1.3957,                0.41369,                0.08908,                0.09772,                 0.0655,                 2.1491,                 3.3043,                 1.9246,             0.00011217,             0.00011217,             0.00011217
                     24,                0.83415,                 1.5099,                  1.374,                0.53176,                0.09349,                0.10297,                0.06967,                 2.1298,                 3.2557,                 1.8938,             0.00010836,             0.00010836,             0.00010836
                     25,                0.82237,                 1.5002,                 1.3625,                0.51287,                0.08826,                0.10332,                0.06952,                 2.1656,                 3.2441,                 1.9052,             0.00010456,             0.00010456,             0.00010456
                     26,                 0.8307,                 1.4683,                 1.3605,                0.51335,                0.09281,                0.10181,                0.06907,                  2.062,                 3.2127,                 1.8603,             0.00010076,             0.00010076,             0.00010076
